PVUSER11;PVUSER26;PVUSER35;PVUSER53
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
150;150;150;150
150;150;150;150
150;150;150;150
150;150;150;150
240;240;240;240
240;240;240;240
240;240;240;240
240;240;240;240
360;360;360;360
360;360;360;360
360;360;360;360
360;360;360;360
360;360;360;360
360;360;360;360
540;540;540;540
540;540;540;540
540;540;540;540
540;540;540;540
540;540;540;540
540;540;540;540
540;540;540;540
540;540;540;540
720;720;720;720
720;720;720;720
720;720;720;720
900;900;900;900
900;900;900;900
900;900;900;900
960;960;960;960
960;960;960;960
900;900;900;900
900;900;900;900
900;900;900;900
720;720;720;720
720;720;720;720
720;720;720;720
540;540;540;540
540;540;540;540
540;540;540;540
540;540;540;540
540;540;540;540
540;540;540;540
540;540;540;540
540;540;540;540
360;360;360;360
360;360;360;360
360;360;360;360
360;360;360;360
360;360;360;360
360;360;360;360
240;240;240;240
240;240;240;240
240;240;240;240
240;240;240;240
150;150;150;150
150;150;150;150
150;150;150;150
150;150;150;150
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
